run_label,model_case_name,candidate_name,sweep_name,peak_tension,mean_tension,peak_pull_mm,peak_branch_imbalance_mm,tau_error_rms,tau_error_peak,tau_error_rel_rms,tau_error_rel_peak,score,rejected,reject_reasons
two_guide_first_pass,large_nominal,twoG_b-p_m_l-0.25_0.65_o--5.00_-5.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,1.770120701442527,1.1049709091505089,21.392824661115867,0.0,0.0029834289050719737,0.004437911891509675,0.43199444173954044,0.6447790082272614,0.8542392093805087,False,
two_guide_first_pass,large_nominal,twoG_b-p_m_l-0.25_0.65_o--3.00_-3.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,1.9861414696112718,1.3085442179848195,17.82221248786763,0.0,0.0028759588878505015,0.003966403439762,0.4470307105091187,0.7413239237686308,0.8561780368841712,False,
two_guide_first_pass,nominal_nominal,twoG_b-p_m_l-0.25_0.65_o--5.00_-5.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,1.8743424736924563,1.1526369275202,20.589180103702446,0.0,0.0031219379451477803,0.0045772799430511355,0.44122173567083756,0.6470257229098378,0.8628638402584656,False,
two_guide_first_pass,nominal_nominal,twoG_b-p_m_l-0.25_0.65_o--3.00_-3.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,2.12154688990728,1.3764786603225763,16.978922388192387,0.0,0.0030453418341195443,0.004106202933382239,0.45959788004491087,0.7432568198569669,0.8708541075847349,False,
two_guide_first_pass,small_nominal,twoG_b-p_m_l-0.25_0.65_o--5.00_-5.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,1.9903210891675207,1.2043788976373049,19.78189756315591,0.0,0.0033201315685207878,0.00485813579694209,0.4533273967179707,0.649331055320575,0.8755019757885617,False,
two_guide_first_pass,large_mid,twoG_b-p_m_l-0.25_0.65_o--5.00_-5.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,2.0356388066589064,1.270716545523085,21.392824661115867,0.0,0.0034309432408327688,0.005103598675236123,0.4319944417395403,0.6447790082272614,0.8807910199021465,False,
two_guide_first_pass,large_mid,twoG_b-p_m_l-0.25_0.65_o--3.00_-3.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,2.284062690052963,1.5048258506825423,17.82221248786763,0.0,0.0033073527210280757,0.004561363955726299,0.44703071050911863,0.741323923768631,0.8859701589283403,False,
two_guide_first_pass,large_nominal,twoG_b-p_m_l-0.45_0.65_o--5.00_-5.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,1.8274586200576606,1.133610404391586,20.86833724354979,0.0,0.0035233030757391677,0.005255336449026947,0.4683995025748464,0.6480207010752812,0.8891083103190158,False,
two_guide_first_pass,small_nominal,twoG_b-p_m_l-0.25_0.65_o--3.00_-3.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,2.2762350300209935,1.452249731211905,16.12623675677098,0.0,0.003273551333053208,0.004389733911709055,0.47490165897678716,0.7451192545840543,0.8900921712313234,False,
two_guide_first_pass,nominal_mid,twoG_b-p_m_l-0.25_0.65_o--5.00_-5.00_al-0.80_ao--4.00_ex--8.00_ey--4.00,flexion_sweep,2.1554938447463248,1.3255324666482295,20.589180103702446,0.0,0.0035902286369199465,0.005263871934508809,0.4412217356708374,0.6470257229098375,0.8909789773638523,False,
